"key","message","comment","context"
"Trading","交易模块",,
"OrdersHistory","历史订单",,
"OrdersDetailHistory","历史订单详情",,
"User","用户编号",,
"Capital detail","资金明细",,
"Code","编号",,
"Name","名称",,
"Variety","交易对",,
"Currency","币种",,
"Type","借款类型",,
"ApplyAmount","借款金额",,
"Return amount","已还金额",,
"Paid interest","已还利息",,
"Interest rate","利率",,
"Apply time","申请时间",,
"Return status","归还状态",,
"Cd","创建时间",,
"BadLoans","坏账记录",,
"LendingWater","放贷记录",,
"ReturnLeverage","资金归还记录",,
"Apply code","申请编码",,
"Lending","放贷Id",,
"Interest","利息",,
"Time","还款时间",,
"Days","计息天数",,
"Lending subject profit","放贷人盈利金额",,
"Platform profit","平台盈利金额",,
"Capital detail","资金明细id",,
"LendingAmount","放贷金额",,
"Lending time","放贷时间",,
"Lending subject","放贷人类型",,
"Bad","坏账Id",,
"MessageContent","发送内容",,
"SendStatus","发送状态",,
"MessageType","消息类型",,

