"key","message","comment","context"
"Operation","运营管理",,
"Addresses","地址管理",,
"Address","地址",,
"Enabled","是否启用",,
"Rank","权重",,
"Area code","区号",,
"Code","编号",,
"Description","描述",,
"Language","语言",,
"Name","名称",,
"Short name","简称",,
"Faqs","常见问题",,
"Faq","常见问题",,
"Category id","类别",,
"Digest","摘要",,
"Hot","问题热度",,
"Meta description","SEO描述",,
"Meta keywords","SEO关键字",,
"Question","问题",,
"Response","答复",,
"Status","状态",,
"Tags","标签",,
"Categories","类别管理",,
"Category","资讯分类管理",,
"Notices","公告管理",,
"Notice","公告",,
"Author","作者",,
"Context","内容",,
"Content","内容",,
"Release time","发布时间",,
"Notice abstract","摘要",,
"Title","标题",,
"Banners","Banner管理",,
"Banner","Banner管理",,
"ImgPath","图片地址",,
"Img path","图片地址",,
"Link path","链接地址",,
"End time","下架时间",,
"Start time","上架时间",,
"zh-cn","简体中文",,
"zh-hk","繁体中文",,
"en-us","英语",,
"vn","越南语",,
"Information","资讯管理",,
"Info","资讯管理",,
"Video","视频资讯",,
"Recommend","推荐位",,
"Operating","运营管理",,
"GrantAward","批量发放奖励",,
"Award","奖励设置",,
"DailyDividend","每日分红",,
"DividendRule","分红细则",,
"StatisticsProfit","分红统计",,
"DailyBalance","VNBT快照",,
"BonusSetting","分红设置",,
"Cd","创建时间",,
"Create user account","添加账号",,
"Enable hot","是否热门",,
"Last modify user account","最后修改人账号",,
"Lmd","最后修改时间",,
"Lmu","最后修改人",,
"Cu","创建人",,
"Ve","修改次数",,
"Val","值",,
"Client","客户端",,
"Thumbnail","图片",,
"Video picture","图片",,
"Picture","图片",,
"Project party icon","项目方",,
"Account type","账户类型",,
"Summary date","日期",,
"Remain amount","持有VNBT数",,
"Proportion","分红比例",,
"Source","来源",,
"Video url","视频",,
"Father","父类",,
"Activity","活动列表",,
"Award name","奖励名称",,
"Award currency","奖励币种",,
"Award amount","奖励数量",,
"Total amount","奖励总额",,
"Transaction amount","交易额度",,
"amount","金额",,
"Amount","金额",,
"grantAwardAmount","奖励数额",,
"Transaction currency","币种",,
"ActivityAwardWater","活动奖励记录",,
"Activity name","活动名称",,
"Activity type","活动类型",,
"Income","收益明细",,
"Income money","收益",,
"Income user code","收益人",,
"AwardOperate","奖励操作记录",,
"Others","其他",,
"Name","名称",,
"Code","编号",,
"Type","类型",,
"Types","类型",,
"UserId","用户Id",,
"Template","模板",,

"Spread","推广",,
"Managers","经理人管理",,
"InviteImage","活动Banner",,
"Manager","经理人管理",,
"ManagerRules","经理人规则",,
"content","规则",,
"Total invite","邀请人数",,
"Invite code","邀请码",,
"Name","名称",,
"Code","编号",,
"Type","类型",,

"IncomeExtract","手续费提成",,



