"key","message","comment","context"
"OTCProject","OTC模块",,
"ParameterConfig","信息配置",,
"BaseConfig","基本配置",,
"Buyer deadline","买家付款期限",,
"Seller deadline","卖家确认时间",,
"Appeal deadline","申诉处理时间",,
"Ad deadline","广告时间",,
"Merchant deposit","商家保证金",,
"Deposit currency","保证金币种",,
"Code","编码",,
"DigitalCurrency","数字货币",,
"Enabled","是否启用",,
"LegalMoney","法定货币",,
"PaymentMethod","支付方式",,
"name","支付名称",,
"Poundage","手续费",,
"Ad rate","广告商手续费",,
"User rate","用户手续费",,
"TradeLimit","交易限制",,
"Trade money","法币类型",,
"Single limit","单笔交易限额",,
"Total limit","总交易上限",,
"Auth type","用户认证级别",,
"Appeal","投诉管理",,
"Appeal type","投诉方",,
"status","状态",,
"content","申诉内容",,
"manager","处理人",,
"Handled time","处理时间",,
"remark","备注",,
"Result","处理结果",,
"Img url","图片",,
"MerchantAuthenticate","认证商家",,
"amount","保证金",,
"Appealstatus","申诉状态",,
"Auditor","审核人",,
"Audit date","审核时间",,
"currency","币种",,
"Advertisement","广告管理",,
"Trade type","交易类型",,
"Trade currency","交易币种",,
"Trade money","交易法币",,
"Exchange","交易所",,
"Quantity","数量",,
"Price fixed","价格是否固定",,
"price","购买价格",,
"Premium rate","溢价率",,
"Accept price","可接受价格",,
"Pm ids","支持交易方式",,
"Min volume","交易最小额",,
"Max volume","交易最大额",,
"Greetings","问候语",,
"Ending","结束语",,
"Processing number","同时处理订单数量",,
"Transactions number","下单成交次数",,
"Available quantity","可用数量",,
"rate","手续费费率",,
"Is recommend","是否推荐",,
"End date","结束日期",,
"Instruction","交易说明",,
"Order count","订单总数",,
"Start st","展示开始时间",,
"End st","展示结束时间",,
"fee","手续费",,
"OrderInfo","订单管理",,
"Number","订单编号",,
"Amount","订单额",,
"Pm","交易方式",,
"Reference number","付款参考号",,
"Canceled date","取消日期",,
"Paid date","付款时间",,
"Finished date","完成时间",,
"Appealed date","申诉日期",,
"Is appealed","是否申诉",,
"Lock quantity","冻结数量",,
"Deadline","买方期限",,
"PaymentInfo","支付信息",,
"User name","用户姓名",,
"Account name","账户",,
"Opening bank","开户行",,
"Opening branch","开户支行",,
"Bank card","银行卡号",,
"Is show","是否在订单显示",,
"reqNo","广告订单号",,
"buyads","购买广告",,
"sellads","出售广告",,
"zfb","支付宝",,
"wx","微信",,
"yl","银联",,
"emailAddress","邮箱地址",,
"view-details","查看详情",,
"verifying","是否通过验证",,
"yes","是",,
"no","否",,
"Confirm-Merauth","确定通过此商家审核",,
"Cancel-Merauth","驳回此商家审核",,
"Cancel","取消",,
"typeads","广告类型",,
"Req no","订单号",,
"AccountCode","用户账号",,
"appealinfo","投诉信息",,
"appeal-solve","投诉处理",,
"Settings","设置",,
"IsSurePassCheck","是否通过审核",,
"FreezeAmount","冻结保证金数量",,
"FreezeCurrency","冻结币种",,
"advertisementId","广告单唯一id",,
"Adv code","商家代码",,
"Adv account","商家账户",,
"Order number","订单编号",,
"orderinfo-reqno","订单请求流水",,
"ApStatusType","申诉类型",,
"IdentityType","申诉人身份",,
"Adv user account","广告商账户",,
"Adv user code","广告商编号",,
"tradeCurrency","交易数字币种",,
"tradeMoney","交易法币币种",,
"Lecode","法币代码",,
"Dicode","数字币代码",,
"Paycode","支付方式代码",,
"Id","id",,
"orderinfo-ads","此广告对应的订单",,
"appeal-ads","此广告对应的投诉单",,
"CapitalDetail","资金明细",,
"appeal-bt-buyer","买家胜诉",,
"appeal-bt-seller","卖家胜诉",,
