"key","message","comment","context"
"Access error","访问错误",,
"Action","功能",,
"Action Menu","功能菜单",,
"Action Menus","功能菜单",,
"Action name can't be changed.","功能名不能改变",,
"Actions","功能列表",,
"Activate on","激活日期",,
"Activate the user from the specified date.","从指定日期激活用户。",,
"Active","有效的",,
"Address","地址",,
"Administration","系统管理",,
"All Actions","全部动作",,
"All Charts","全部图表",,
"All Custom Views","自定义页面",,
"All Documents","全部文档",,
"All Menu Help","全部菜单帮助",,
"All Groups","全部组",,
"All Menus","全部菜单",,
"All Models","全部模型",,
"All Modules","全部模块",,
"All Schedules","全部Job任务",,
"All Selects","全部选择器",,
"All Teams","全部团队",,
"All Translations","国际化资源",,
"All View Help","全部视图帮助",,
"All Views","全部视图",,
"All the customizations will be lost. Are you sure ?","所有自定义设置都将丢失。你确定吗？",,
"All views have been restored.","所有视图都已恢复。",,
"Allow","允许",,
"An unique permission name.","唯一权限名称",,
"Application","应用",,
"Archived","已归档",,
"Assigned to","指派",,
"Attached to","附加",,
"Attributes","属性",,
"Attrs","属性",,
"Author","作者",,
"Authorization","授权",,
"Authorized roles","已授权角色",,
"Authorized groups","已授权组",,
"Authorized users","已授权用户",,
"Blocked","已被限制",,
"Body",,,
"Boolean",,,
"Button",,,
"Calendar",,,
"Can read","可读",,
"Can share","共享",,
"Can write","可写",,
"Canceled","已取消",,
"Cards",,,
"Category","分类",,
"Category name to group action menus.",,,
"Change password?","修改密码",,
"Chart","图",,
"Client side js expression","客户端js表达式",,
"Closed","已关闭",,
"Code","编码",,
"Code length should be greater than 2.","编码长度应大于2",,
"Collapse","收缩",,
"Come back later. There are no messages in this folder...","晚些再来，此文件夹没有消息",,
"Comma separated list of params for the condition.","逗号分隔条件参数。",,
"Comment",,,
"Concurrent updates error",,,
"Condition","条件",,
"Condition params","条件参数",,
"Conditions","条件",,
"Configuration","配置",,
"Confirm","确认",,
"Content","内容",,
"Content type","内容类型",,
"Context field",,,
"Context field target",,,
"Context field target name",,,
"Context field title",,,
"Context field value",,,
"Create","创建",,
"Created by","创建人",,
"Created on","创建时间",,
"Cron",,,
"Custom","自定义",,
"Custom Fields","自定义字段",,
"Custom Models","自定义模型",,
"Custom field","自定义字段",,
"Custom fields","自定义字段",,
"Custom model","自定义模型",,
"Custom models","自定义模型",,
"Custom-ManyToMany",,,
"Custom-ManyToOne",,,
"Custom-OneToMany",,,
"Dashboard","仪表盘",,
"Dashboards","仪表盘",,
"Data","数据",,
"Date",,,
"DateTime",,,
"Decimal",,,
"Default","默认",,
"Default home action.",,,
"Default value","默认值",,
"Depends",,,
"Depends On",,,
"Description","描述",,
"Directories",,,
"Directory",,,
"Disable the user from the specified date.",,,
"Document","文档",,
"Documents","所有文档",,
"Domain","领域模型",,
"Domain filter as condition.",,,
"Email",,,
"English",,,
"Enum",,,
"Enum type",,,
"Expires on","过期日期",,
"Export","导出",,
"Export complete.","导出完成",,
"Extension",,,
"`","收藏",,
"Favorites",所有收藏,,
"Field","字段",,
"Field is required.","字段是必需.",,
"Fields","字段",,
"File","文件",,
"File added","",,
"File name","文件名",,
"File path","文件路径",,
"File removed","",,
"File type","文件类型",,
"Files","文件",,
"Filter custom","自定义过滤器",,
"Filter files","过滤文件",,
"Filter view","过滤视图",,
"Filters","过滤",,
"Flags",,,
"Following modules will be installed : <br/> %s <br/> Are you sure ?",,,
"Following modules will be uninstalled : <br/> %s <br/> Are you sure ?",,,
"Form",,,
"Form record",,,
"Form records",,,
"Form view",,,
"French",,,
"From",,,
"Fullname","全名",,
"Fully qualified object name or wild card package name.",,,
"Gantt",,,
"General","常规",,
"Grid",,,
"Grid view",,,
"Group","用户组",,
"Groups","用户组",,
"Help","帮助",,
"Help Management","帮助管理",,
"Help link","帮助链接",,
"Hidden","隐藏",,
"Hidden menu","隐藏菜单",,
"Hide if",,,
"High","高",,
"Home action",,,
"Icon","图标",,
"Icon background","图标背景",,
"If",,,
"If-module",,,
"Important","重要的",,
"In Progress","在进行中",,
"Inbox","收件箱",,
"Messaging","收件箱",,
"Inbox is empty!","收件箱没有邮件",,
"Include if",,,
"Increment",,,
"Information",,,
"Initial",,,
"Inline",,,
"Install",,,
"Install module",,,
"Installed",,,
"Integer",,,
"Invalid XML.",,,
"Invalid cron:",,,
"Invalid field value.",,,
"Invalid permission",,,
"Invalid use of action-record: %s, must be the last action.",,,
"Inverse",,,
"Is archived",,,
"Is directory",,,
"Is read",,,
"Is starred",,,
"Items","选项",,
"Job","Job任务",,
"Job Management","Job管理",,
"Json",,,
"Json model",,,
"Kanban",,,
"Key",,,
"Label","标注",,
"Language","语言",,
"Last modified",,,
"Left menu","左边菜单",,
"Link","关联",,
"Login","登录名",,
"Low","低",,
"Mail","邮件",,
"Welcome","欢迎",,
"Welcome!","欢迎！",,
"ManyToMany",,,
"ManyToOne",,,
"Mapped by",,,
"Max",,,
"Max size",,,
"Max size 4MB.",,,
"Members","成员",,
"Menu","菜单",,
"Menu Help","菜单帮助",,
"Menu Item","菜单项",,
"Menu Items",,,
"Menus","菜单",,
"Message",,,
"Meta file",,,
"Meta model",,,
"Meta permission",,,
"MetaScheduleParam",,,
"Min",,,
"Min size",,,
"Mobile menu","移动菜单",,
"Model","模型",,
"Model Management","模型管理",,
"Model field","模型字段",,
"Models","全部模型",,
"Module","模块",,
"Module Management","模块管理",,
"Modules","全部模块",,
"My Documents","我的文档",,
"My Views","我的视图",,
"My open tasks","我打开的任务",,
"Name","名称",,
"Name field",,,
"Name length should be greater than 2.",,,
"Navigation","导航",,
"New","新建",,
"Next",,,
"No archived messages!","没有归档消息",,
"No help","没有帮助",,
"No important messages!","没有重要的消息",,
"Normal",,,
"Object","对象",,
"Object name",,,
"On change",,,
"On click",,,
